# system info final_fpga on 2013.12.01.15:42:57
system_info:
name,value
DEVICE,EP2C35F672C6
DEVICE_FAMILY,Cyclone II
GENERATION_ID,1385930491
#
#
# Files generated for final_fpga on 2013.12.01.15:42:57
files:
filepath,kind,attributes,module,is_top
simulation/final_fpga.vhd,VHDL,,final_fpga,true
simulation/final_fpga_cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent.vhd,VHDL,,final_fpga,false
simulation/final_fpga_new_sdram_controller_0_s1_translator_avalon_universal_slave_0_agent.vhd,VHDL,,final_fpga,false
simulation/final_fpga_width_adapter.vhd,VHDL,,final_fpga,false
simulation/final_fpga_width_adapter_002.vhd,VHDL,,final_fpga,false
simulation/final_fpga_cpu_data_master_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_cpu_instruction_master_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_grab_if_0_avalon_master_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_dma_engine_0_avalon_master_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_cpu_jtag_debug_module_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_onchip_mem_s1_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_jtag_uart_avalon_jtag_slave_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_sys_clk_timer_s1_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_sysid_control_slave_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_new_sdram_controller_0_s1_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_regfile_final_0_avalon_slave_0_translator.vhd,VHDL,,final_fpga,false
simulation/final_fpga_cpu_data_master_translator_avalon_universal_master_0_agent.vhd,VHDL,,final_fpga,false
simulation/final_fpga_grab_if_0_avalon_master_translator_avalon_universal_master_0_agent.vhd,VHDL,,final_fpga,false
simulation/final_fpga_dma_engine_0_avalon_master_translator_avalon_universal_master_0_agent.vhd,VHDL,,final_fpga,false
simulation/submodules/final_fpga_onchip_mem.hex,HEX,,final_fpga_onchip_mem,false
simulation/submodules/final_fpga_onchip_mem.vhd,VHDL,,final_fpga_onchip_mem,false
simulation/submodules/final_fpga_cpu.ocp,OTHER,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu.sdc,SDC,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu.vhd,VHDL_ENCRYPT,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu.vho,VHDL,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_ic_tag_ram.dat,DAT,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_ic_tag_ram.hex,HEX,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_ic_tag_ram.mif,MIF,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_jtag_debug_module_sysclk.vhd,VHDL,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_jtag_debug_module_tck.vhd,VHDL,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_jtag_debug_module_wrapper.vhd,VHDL,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_mult_cell.vhd,VHDL,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_nios2_waves.do,OTHER,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_ociram_default_contents.dat,DAT,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_ociram_default_contents.hex,HEX,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_ociram_default_contents.mif,MIF,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_oci_test_bench.vhd,VHDL,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_rf_ram_a.dat,DAT,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_rf_ram_a.hex,HEX,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_rf_ram_a.mif,MIF,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_rf_ram_b.dat,DAT,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_rf_ram_b.hex,HEX,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_rf_ram_b.mif,MIF,,final_fpga_cpu,false
simulation/submodules/final_fpga_cpu_test_bench.vhd,VHDL,,final_fpga_cpu,false
simulation/submodules/final_fpga_jtag_uart.vhd,VHDL,,final_fpga_jtag_uart,false
simulation/submodules/final_fpga_sys_clk_timer.vhd,VHDL,,final_fpga_sys_clk_timer,false
simulation/submodules/final_fpga_sysid.vho,VHDL,,final_fpga_sysid,false
simulation/submodules/final_fpga_new_sdram_controller_0.vhd,VHDL,,final_fpga_new_sdram_controller_0,false
simulation/submodules/grab_avdetect.vhd,VHDL,,grab_if,false
simulation/submodules/grab_buffer.vhd,VHDL,,grab_if,false
simulation/submodules/grab_rcontrol.vhd,VHDL,,grab_if,false
simulation/submodules/grab_addressing.vhd,VHDL,,grab_if,false
simulation/submodules/grab_if.vhd,VHDL,,grab_if,false
simulation/submodules/grab_wcontrol.vhd,VHDL,,grab_if,false
simulation/submodules/regfile_final.vhd,VHDL,,regfile_final,false
simulation/submodules/dma_engine.vhd,VHDL,,dma_engine,false
simulation/submodules/mentor/altera_merlin_master_translator.sv,SYSTEM_VERILOG_ENCRYPT,MENTOR_SPECIFIC,altera_merlin_master_translator,false
simulation/submodules/aldec/altera_merlin_master_translator.sv,SYSTEM_VERILOG_ENCRYPT,ALDEC_SPECIFIC,altera_merlin_master_translator,false
simulation/submodules/mentor/altera_merlin_slave_translator.sv,SYSTEM_VERILOG_ENCRYPT,MENTOR_SPECIFIC,altera_merlin_slave_translator,false
simulation/submodules/aldec/altera_merlin_slave_translator.sv,SYSTEM_VERILOG_ENCRYPT,ALDEC_SPECIFIC,altera_merlin_slave_translator,false
simulation/submodules/mentor/altera_merlin_master_agent.sv,SYSTEM_VERILOG_ENCRYPT,MENTOR_SPECIFIC,altera_merlin_master_agent,false
simulation/submodules/aldec/altera_merlin_master_agent.sv,SYSTEM_VERILOG_ENCRYPT,ALDEC_SPECIFIC,altera_merlin_master_agent,false
simulation/submodules/mentor/altera_merlin_slave_agent.sv,SYSTEM_VERILOG_ENCRYPT,MENTOR_SPECIFIC,altera_merlin_slave_agent,false
simulation/submodules/mentor/altera_merlin_burst_uncompressor.sv,SYSTEM_VERILOG_ENCRYPT,MENTOR_SPECIFIC,altera_merlin_slave_agent,false
simulation/submodules/aldec/altera_merlin_slave_agent.sv,SYSTEM_VERILOG_ENCRYPT,ALDEC_SPECIFIC,altera_merlin_slave_agent,false
simulation/submodules/aldec/altera_merlin_burst_uncompressor.sv,SYSTEM_VERILOG_ENCRYPT,ALDEC_SPECIFIC,altera_merlin_slave_agent,false
simulation/submodules/final_fpga_cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo.vho,VHDL,,final_fpga_cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo,false
simulation/submodules/final_fpga_cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent_rdata_fifo.vho,VHDL,,final_fpga_cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent_rdata_fifo,false
simulation/submodules/final_fpga_new_sdram_controller_0_s1_translator_avalon_universal_slave_0_agent_rsp_fifo.vho,VHDL,,final_fpga_new_sdram_controller_0_s1_translator_avalon_universal_slave_0_agent_rsp_fifo,false
simulation/submodules/final_fpga_new_sdram_controller_0_s1_translator_avalon_universal_slave_0_agent_rdata_fifo.vho,VHDL,,final_fpga_new_sdram_controller_0_s1_translator_avalon_universal_slave_0_agent_rdata_fifo,false
simulation/submodules/final_fpga_addr_router.vho,VHDL,,final_fpga_addr_router,false
simulation/submodules/final_fpga_addr_router_002.vho,VHDL,,final_fpga_addr_router_002,false
simulation/submodules/final_fpga_id_router.vho,VHDL,,final_fpga_id_router,false
